Unnamed: 0	id	aspect_words	keywords	calculated_alga	aspect_id	keyword_id	aspects
0	0	dịch_vụ	dịch_vụ	-1.134845882291882	0	0	customer_service
1	0	dịch_vụ	thất_vọng	-1.134845882291882	0	1	customer_service
2	0	dịch_vụ	tiền	-1.134845882291882	0	2	customer_service
3	0	không	thất_vọng	-4.183369938725367	1	3	unknown
4	0	không	tiền	-4.183369938725367	1	4	unknown
5	0	không	không	-4.183369938725367	1	5	unknown
6	0	không	trải_nghiệm	-4.183369938725367	1	6	unknown
7	0	không	tệ_hại	-4.183369938725367	1	7	unknown
8	0	không	chờ_đợi_lâu	-4.183369938725367	1	8	unknown
9	0	không	nhân_viên	-4.183369938725367	1	9	unknown
10	0	không	không	-4.183369938725367	1	10	unknown
11	0	không	chú_ý	-4.183369938725367	1	11	unknown
12	0	không	khách_hàng	-4.183369938725367	1	12	unknown
13	0	không	thụ_động	-4.183369938725367	1	13	unknown
14	0	không	vô_cùng	-4.183369938725367	1	14	unknown
15	0	không	không	-4.183369938725367	1	15	unknown
16	0	không	chuyên_nghiệp	-4.183369938725367	1	16	unknown
17	0	trải_nghiệm	tiền	1.1951839299099791	2	17	customer_service
18	0	trải_nghiệm	không	1.1951839299099791	2	18	customer_service
19	0	trải_nghiệm	trải_nghiệm	1.1951839299099791	2	19	customer_service
20	0	trải_nghiệm	tệ_hại	1.1951839299099791	2	20	customer_service
21	0	trải_nghiệm	chờ_đợi_lâu	1.1951839299099791	2	21	customer_service
22	0	nhân_viên	tệ_hại	1.2666901270407749	3	22	customer_service
23	0	nhân_viên	chờ_đợi_lâu	1.2666901270407749	3	23	customer_service
24	0	nhân_viên	nhân_viên	1.2666901270407749	3	24	customer_service
25	0	nhân_viên	không	1.2666901270407749	3	25	customer_service
26	0	nhân_viên	chú_ý	1.2666901270407749	3	26	customer_service
27	0	khách_hàng	không	-3.337972065629148	4	27	customer_service
28	0	khách_hàng	chú_ý	-3.337972065629148	4	28	customer_service
29	0	khách_hàng	khách_hàng	-3.337972065629148	4	29	customer_service
30	0	khách_hàng	lịch	-3.337972065629148	4	30	customer_service
31	0	khách_hàng	thụ_động	-3.337972065629148	4	31	customer_service
32	0	lịch	chú_ý	-4.176416101828932	5	32	unknown
33	0	lịch	khách_hàng	-4.176416101828932	5	33	unknown
34	0	lịch	lịch	-4.176416101828932	5	34	unknown
35	0	lịch	thụ_động	-4.176416101828932	5	35	unknown
36	0	lịch	vô_cùng	-4.176416101828932	5	36	unknown
37	1	nhân_viên	niềm_nở	5.675257323472035	6	37	customer_service
38	1	nhân_viên	lắm	5.675257323472035	6	38	customer_service
39	1	nhân_viên	nhân_viên	5.675257323472035	6	39	customer_service
